Statistic,Rank,Player,Squad,Value
Age,Top 1,Ashley Young,Everton,38.0
Age,Top 2,Thiago Silva,Chelsea,38.0
Age,Top 3,Łukasz Fabiański,West Ham,38.0
Age,Bottom 1,Leon Chiwome,Wolves,17.0
Age,Bottom 2,Lewis Miley,Newcastle Utd,17.0
Age,Bottom 3,David Ozoh,Crystal Palace,18.0
Born,Top 1,Leon Chiwome,Wolves,2006.0
Born,Top 2,Lewis Miley,Newcastle Utd,2006.0
Born,Top 3,David Ozoh,Crystal Palace,2005.0
Born,Bottom 1,Thiago Silva,Chelsea,1984.0
Born,Bottom 2,Ashley Young,Everton,1985.0
Born,Bottom 3,Łukasz Fabiański,West Ham,1985.0
Playing Time-MP,Top 1,André Onana,Manchester Utd,38.0
Playing Time-MP,Top 2,Bernd Leno,Fulham,38.0
Playing Time-MP,Top 3,Carlton Morris,Luton Town,38.0
Playing Time-MP,Bottom 1,Alex Iwobi,Everton,2.0
Playing Time-MP,Bottom 2,Ionuț Radu,Bournemouth,2.0
Playing Time-MP,Bottom 3,Matheus Nunes,Wolves,2.0
Playing Time-Starts,Top 1,André Onana,Manchester Utd,38.0
Playing Time-Starts,Top 2,Bernd Leno,Fulham,38.0
Playing Time-Starts,Top 3,Guglielmo Vicario,Tottenham,38.0
Playing Time-Starts,Bottom 1,David Ozoh,Crystal Palace,0.0
Playing Time-Starts,Bottom 2,Ivan Perišić,Tottenham,0.0
Playing Time-Starts,Bottom 3,Jesurun Rak Sakyi,Crystal Palace,0.0
Playing Time-Min,Top 1,André Onana,Manchester Utd,3420.0
Playing Time-Min,Top 2,Bernd Leno,Fulham,3420.0
Playing Time-Min,Top 3,Guglielmo Vicario,Tottenham,3420.0
Playing Time-Min,Bottom 1,John Fleck,Sheffield Utd,92.0
Playing Time-Min,Bottom 2,Kalvin Phillips,Manchester City,93.0
Playing Time-Min,Bottom 3,Ivan Perišić,Tottenham,103.0
Playing Time-90s,Top 1,André Onana,Manchester Utd,38.0
Playing Time-90s,Top 2,Bernd Leno,Fulham,38.0
Playing Time-90s,Top 3,Guglielmo Vicario,Tottenham,38.0
Playing Time-90s,Bottom 1,John Fleck,Sheffield Utd,1.0
Playing Time-90s,Bottom 2,Kalvin Phillips,Manchester City,1.0
Playing Time-90s,Bottom 3,Ivan Perišić,Tottenham,1.1
Performance-Gls,Top 1,Erling Haaland,Manchester City,27.0
Performance-Gls,Top 2,Cole Palmer,Chelsea,22.0
Performance-Gls,Top 3,Alexander Isak,Newcastle Utd,21.0
Performance-Gls,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-Gls,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-Gls,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Performance-Ast,Top 1,Ollie Watkins,Aston Villa,13.0
Performance-Ast,Top 2,Cole Palmer,Chelsea,11.0
Performance-Ast,Top 3,Anthony Gordon,Newcastle Utd,10.0
Performance-Ast,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-Ast,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-Ast,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Performance-G+A,Top 1,Cole Palmer,Chelsea,33.0
Performance-G+A,Top 2,Erling Haaland,Manchester City,32.0
Performance-G+A,Top 3,Ollie Watkins,Aston Villa,32.0
Performance-G+A,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-G+A,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-G+A,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Performance-G-PK,Top 1,Erling Haaland,Manchester City,20.0
Performance-G-PK,Top 2,Ollie Watkins,Aston Villa,19.0
Performance-G-PK,Top 3,Phil Foden,Manchester City,19.0
Performance-G-PK,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-G-PK,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-G-PK,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Performance-PK,Top 1,Cole Palmer,Chelsea,9.0
Performance-PK,Top 2,Erling Haaland,Manchester City,7.0
Performance-PK,Top 3,Bukayo Saka,Arsenal,6.0
Performance-PK,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-PK,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-PK,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Performance-PKatt,Top 1,Cole Palmer,Chelsea,9.0
Performance-PKatt,Top 2,Erling Haaland,Manchester City,8.0
Performance-PKatt,Top 3,Mohamed Salah,Liverpool,7.0
Performance-PKatt,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-PKatt,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-PKatt,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Performance-CrdY,Top 1,João Palhinha,Fulham,13.0
Performance-CrdY,Top 2,Marcos Senesi,Bournemouth,13.0
Performance-CrdY,Top 3,Anthony Gordon,Newcastle Utd,12.0
Performance-CrdY,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Performance-CrdY,Bottom 2,Alex Iwobi,Everton,0.0
Performance-CrdY,Bottom 3,Amari'i Bell,Luton Town,0.0
Performance-CrdR,Top 1,Oliver McBurnie,Sheffield Utd,2.0
Performance-CrdR,Top 2,Reece James,Chelsea,2.0
Performance-CrdR,Top 3,Yves Bissouma,Tottenham,2.0
Performance-CrdR,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-CrdR,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-CrdR,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Expected-xG,Top 1,Erling Haaland,Manchester City,29.2
Expected-xG,Top 2,Mohamed Salah,Liverpool,21.2
Expected-xG,Top 3,Alexander Isak,Newcastle Utd,20.3
Expected-xG,Bottom 1,Aaron Cresswell,West Ham,0.0
Expected-xG,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Expected-xG,Bottom 3,Alisson,Liverpool,0.0
Expected-npxG,Top 1,Erling Haaland,Manchester City,22.9
Expected-npxG,Top 2,Nicolas Jackson,Chelsea,18.6
Expected-npxG,Top 3,Dominic Solanke,Bournemouth,17.2
Expected-npxG,Bottom 1,Aaron Cresswell,West Ham,0.0
Expected-npxG,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Expected-npxG,Bottom 3,Alisson,Liverpool,0.0
Expected-xAG,Top 1,Bruno Fernandes,Manchester Utd,11.8
Expected-xAG,Top 2,Mohamed Salah,Liverpool,11.8
Expected-xAG,Top 3,Son Heung-min,Tottenham,11.8
Expected-xAG,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Expected-xAG,Bottom 2,Alfie Gilchrist,Chelsea,0.0
Expected-xAG,Bottom 3,Alisson,Liverpool,0.0
Expected-npxG+xAG,Top 1,Mohamed Salah,Liverpool,27.3
Expected-npxG+xAG,Top 2,Erling Haaland,Manchester City,27.2
Expected-npxG+xAG,Top 3,Ollie Watkins,Aston Villa,24.2
Expected-npxG+xAG,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Expected-npxG+xAG,Bottom 2,Alisson,Liverpool,0.0
Expected-npxG+xAG,Bottom 3,Alphonse Areola,West Ham,0.0
Progression-PrgC,Top 1,Jeremy Doku,Manchester City,218.0
Progression-PrgC,Top 2,Alejandro Garnacho,Manchester Utd,178.0
Progression-PrgC,Top 3,Bukayo Saka,Arsenal,155.0
Progression-PrgC,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Progression-PrgC,Bottom 2,Alisson,Liverpool,0.0
Progression-PrgC,Bottom 3,Alphonse Areola,West Ham,0.0
Progression-PrgP,Top 1,Rodri,Manchester City,376.0
Progression-PrgP,Top 2,Martin Ødegaard,Arsenal,344.0
Progression-PrgP,Top 3,Pascal Groß,Brighton,302.0
Progression-PrgP,Bottom 1,Bernd Leno,Fulham,0.0
Progression-PrgP,Bottom 2,Daniel Bentley,Wolves,0.0
Progression-PrgP,Bottom 3,Dean Henderson,Crystal Palace,0.0
Progression-PrgR,Top 1,Bukayo Saka,Arsenal,508.0
Progression-PrgR,Top 2,Dejan Kulusevski,Tottenham,388.0
Progression-PrgR,Top 3,Gabriel Martinelli,Arsenal,345.0
Progression-PrgR,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Progression-PrgR,Bottom 2,Alisson,Liverpool,0.0
Progression-PrgR,Bottom 3,Alphonse Areola,West Ham,0.0
Per 90 Minutes-Gls,Top 1,Sasa Kalajdzic,Wolves,1.08
Per 90 Minutes-Gls,Top 2,Erling Haaland,Manchester City,0.95
Per 90 Minutes-Gls,Top 3,Jhon Durán,Aston Villa,0.95
Per 90 Minutes-Gls,Bottom 1,Aaron Cresswell,West Ham,0.0
Per 90 Minutes-Gls,Bottom 2,Aaron Hickey,Brentford,0.0
Per 90 Minutes-Gls,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Per 90 Minutes-Ast,Top 1,Manor Solomon,Tottenham,0.9
Per 90 Minutes-Ast,Top 2,Ivan Perišić,Tottenham,0.87
Per 90 Minutes-Ast,Top 3,Kevin De Bruyne,Manchester City,0.74
Per 90 Minutes-Ast,Bottom 1,Aaron Cresswell,West Ham,0.0
Per 90 Minutes-Ast,Bottom 2,Aaron Hickey,Brentford,0.0
Per 90 Minutes-Ast,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Per 90 Minutes-G+A,Top 1,Adama Traoré,Fulham,1.19
Per 90 Minutes-G+A,Top 2,Cole Palmer,Chelsea,1.14
Per 90 Minutes-G+A,Top 3,Erling Haaland,Manchester City,1.13
Per 90 Minutes-G+A,Bottom 1,Aaron Cresswell,West Ham,0.0
Per 90 Minutes-G+A,Bottom 2,Aaron Hickey,Brentford,0.0
Per 90 Minutes-G+A,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Per 90 Minutes-G-PK,Top 1,Sasa Kalajdzic,Wolves,1.08
Per 90 Minutes-G-PK,Top 2,Jhon Durán,Aston Villa,0.95
Per 90 Minutes-G-PK,Top 3,Kieffer Moore,Bournemouth,0.83
Per 90 Minutes-G-PK,Bottom 1,Aaron Cresswell,West Ham,0.0
Per 90 Minutes-G-PK,Bottom 2,Aaron Hickey,Brentford,0.0
Per 90 Minutes-G-PK,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Per 90 Minutes-G+A-PK,Top 1,Adama Traoré,Fulham,1.19
Per 90 Minutes-G+A-PK,Top 2,Enes Ünal,Bournemouth,1.1
Per 90 Minutes-G+A-PK,Top 3,Sasa Kalajdzic,Wolves,1.08
Per 90 Minutes-G+A-PK,Bottom 1,Aaron Cresswell,West Ham,0.0
Per 90 Minutes-G+A-PK,Bottom 2,Aaron Hickey,Brentford,0.0
Per 90 Minutes-G+A-PK,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Per 90 Minutes-xG,Top 1,Kieffer Moore,Bournemouth,1.23
Per 90 Minutes-xG,Top 2,Neal Maupay,Everton,1.16
Per 90 Minutes-xG,Top 3,Erling Haaland,Manchester City,1.03
Per 90 Minutes-xG,Bottom 1,Aaron Cresswell,West Ham,0.0
Per 90 Minutes-xG,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Per 90 Minutes-xG,Bottom 3,Adam Smith,Bournemouth,0.0
Per 90 Minutes-xAG,Top 1,Kevin De Bruyne,Manchester City,0.85
Per 90 Minutes-xAG,Top 2,Ivan Perišić,Tottenham,0.75
Per 90 Minutes-xAG,Top 3,Sasa Kalajdzic,Wolves,0.52
Per 90 Minutes-xAG,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Per 90 Minutes-xAG,Bottom 2,Alfie Gilchrist,Chelsea,0.0
Per 90 Minutes-xAG,Bottom 3,Alisson,Liverpool,0.0
Per 90 Minutes-xG+xAG,Top 1,Kieffer Moore,Bournemouth,1.44
Per 90 Minutes-xG+xAG,Top 2,Neal Maupay,Everton,1.22
Per 90 Minutes-xG+xAG,Top 3,Erling Haaland,Manchester City,1.18
Per 90 Minutes-xG+xAG,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Per 90 Minutes-xG+xAG,Bottom 2,Alisson,Liverpool,0.0
Per 90 Minutes-xG+xAG,Bottom 3,Alphonse Areola,West Ham,0.0
Per 90 Minutes-npxG,Top 1,Kieffer Moore,Bournemouth,1.23
Per 90 Minutes-npxG,Top 2,Neal Maupay,Everton,1.16
Per 90 Minutes-npxG,Top 3,Erling Haaland,Manchester City,0.81
Per 90 Minutes-npxG,Bottom 1,Aaron Cresswell,West Ham,0.0
Per 90 Minutes-npxG,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Per 90 Minutes-npxG,Bottom 3,Adam Smith,Bournemouth,0.0
Per 90 Minutes-npxG+xAG,Top 1,Kieffer Moore,Bournemouth,1.44
Per 90 Minutes-npxG+xAG,Top 2,Neal Maupay,Everton,1.22
Per 90 Minutes-npxG+xAG,Top 3,Sasa Kalajdzic,Wolves,1.09
Per 90 Minutes-npxG+xAG,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Per 90 Minutes-npxG+xAG,Bottom 2,Alisson,Liverpool,0.0
Per 90 Minutes-npxG+xAG,Bottom 3,Alphonse Areola,West Ham,0.0
Performance-GA,Top 1,Thomas Kaminski,Luton Town,85.0
Performance-GA,Top 2,Wes Foderingham,Sheffield Utd,79.0
Performance-GA,Top 3,Mark Flekken,Brentford,63.0
Performance-GA,Bottom 1,Thomas Strakosha,Brentford,2.0
Performance-GA,Bottom 2,Aaron Ramsdale,Arsenal,5.0
Performance-GA,Bottom 3,Mark Travers,Bournemouth,5.0
Performance-GA90,Top 1,Ionuț Radu,Bournemouth,3.5
Performance-GA90,Top 2,Ivo Grbić,Sheffield Utd,2.92
Performance-GA90,Top 3,Robin Olsen,Aston Villa,2.89
Performance-GA90,Bottom 1,David Raya,Arsenal,0.75
Performance-GA90,Bottom 2,Aaron Ramsdale,Arsenal,0.83
Performance-GA90,Bottom 3,Ederson,Manchester City,0.87
Performance-SoTA,Top 1,Thomas Kaminski,Luton Town,221.0
Performance-SoTA,Top 2,Wes Foderingham,Sheffield Utd,204.0
Performance-SoTA,Top 3,André Onana,Manchester Utd,203.0
Performance-SoTA,Bottom 1,Thomas Strakosha,Brentford,8.0
Performance-SoTA,Bottom 2,Ionuț Radu,Bournemouth,11.0
Performance-SoTA,Bottom 3,Aaron Ramsdale,Arsenal,14.0
Performance-Saves,Top 1,André Onana,Manchester Utd,146.0
Performance-Saves,Top 2,Thomas Kaminski,Luton Town,140.0
Performance-Saves,Top 3,Alphonse Areola,West Ham,136.0
Performance-Saves,Bottom 1,Ionuț Radu,Bournemouth,4.0
Performance-Saves,Bottom 2,Thomas Strakosha,Brentford,6.0
Performance-Saves,Bottom 3,Daniel Bentley,Wolves,8.0
Performance-Save%,Top 1,Arijanet Muric,Burnley,80.8
Performance-Save%,Top 2,Mark Travers,Bournemouth,77.8
Performance-Save%,Top 3,Thomas Strakosha,Brentford,75.0
Performance-Save%,Bottom 1,Ionuț Radu,Bournemouth,36.4
Performance-Save%,Bottom 2,Odisseas Vlachodimos,Nott'ham Forest,50.0
Performance-Save%,Bottom 3,Daniel Bentley,Wolves,53.3
Performance-W,Top 1,Ederson,Manchester City,24.0
Performance-W,Top 2,David Raya,Arsenal,23.0
Performance-W,Top 3,Guglielmo Vicario,Tottenham,20.0
Performance-W,Bottom 1,Ivo Grbić,Sheffield Utd,0.0
Performance-W,Bottom 2,Thomas Strakosha,Brentford,0.0
Performance-W,Bottom 3,Daniel Bentley,Wolves,1.0
Performance-D,Top 1,Alphonse Areola,West Ham,9.0
Performance-D,Top 2,Jordan Pickford,Everton,9.0
Performance-D,Top 3,Mark Flekken,Brentford,9.0
Performance-D,Bottom 1,Daniel Bentley,Wolves,0.0
Performance-D,Bottom 2,Ionuț Radu,Bournemouth,0.0
Performance-D,Bottom 3,Mark Travers,Bournemouth,0.0
Performance-L,Top 1,Thomas Kaminski,Luton Town,24.0
Performance-L,Top 2,Wes Foderingham,Sheffield Utd,22.0
Performance-L,Top 3,James Trafford,Burnley,20.0
Performance-L,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Performance-L,Bottom 2,Caoimhín Kelleher,Liverpool,0.0
Performance-L,Bottom 3,Stefan Ortega,Manchester City,0.0
Performance-CS,Top 1,David Raya,Arsenal,16.0
Performance-CS,Top 2,Jordan Pickford,Everton,13.0
Performance-CS,Top 3,Bernd Leno,Fulham,10.0
Performance-CS,Bottom 1,Arijanet Muric,Burnley,0.0
Performance-CS,Bottom 2,Ionuț Radu,Bournemouth,0.0
Performance-CS,Bottom 3,Ivo Grbić,Sheffield Utd,0.0
Performance-CS%,Top 1,Stefan Ortega,Manchester City,60.0
Performance-CS%,Top 2,David Raya,Arsenal,50.0
Performance-CS%,Top 3,Mark Travers,Bournemouth,50.0
Performance-CS%,Bottom 1,Arijanet Muric,Burnley,0.0
Performance-CS%,Bottom 2,Ionuț Radu,Bournemouth,0.0
Performance-CS%,Bottom 3,Ivo Grbić,Sheffield Utd,0.0
Penalty Kicks-PKatt,Top 1,Bernd Leno,Fulham,8.0
Penalty Kicks-PKatt,Top 2,Jordan Pickford,Everton,8.0
Penalty Kicks-PKatt,Top 3,José Sá,Wolves,8.0
Penalty Kicks-PKatt,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Penalty Kicks-PKatt,Bottom 2,Caoimhín Kelleher,Liverpool,0.0
Penalty Kicks-PKatt,Bottom 3,Daniel Bentley,Wolves,0.0
Penalty Kicks-PKA,Top 1,Bernd Leno,Fulham,8.0
Penalty Kicks-PKA,Top 2,Jordan Pickford,Everton,8.0
Penalty Kicks-PKA,Top 3,José Sá,Wolves,8.0
Penalty Kicks-PKA,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Penalty Kicks-PKA,Bottom 2,Caoimhín Kelleher,Liverpool,0.0
Penalty Kicks-PKA,Bottom 3,Daniel Bentley,Wolves,0.0
Penalty Kicks-PKsv,Top 1,Alphonse Areola,West Ham,2.0
Penalty Kicks-PKsv,Top 2,Arijanet Muric,Burnley,1.0
Penalty Kicks-PKsv,Top 3,David Raya,Arsenal,1.0
Penalty Kicks-PKsv,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Penalty Kicks-PKsv,Bottom 2,Alisson,Liverpool,0.0
Penalty Kicks-PKsv,Bottom 3,André Onana,Manchester Utd,0.0
Penalty Kicks-PKm,Top 1,Ivo Grbić,Sheffield Utd,1.0
Penalty Kicks-PKm,Top 2,Wes Foderingham,Sheffield Utd,1.0
Penalty Kicks-PKm,Top 3,Đorđe Petrović,Chelsea,1.0
Penalty Kicks-PKm,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Penalty Kicks-PKm,Bottom 2,Alisson,Liverpool,0.0
Penalty Kicks-PKm,Bottom 3,Alphonse Areola,West Ham,0.0
Penalty Kicks-Save%,Top 1,Robin Olsen,Aston Villa,100.0
Penalty Kicks-Save%,Top 2,Arijanet Muric,Burnley,50.0
Penalty Kicks-Save%,Top 3,David Raya,Arsenal,33.3
Penalty Kicks-Save%,Bottom 1,Alisson,Liverpool,0.0
Penalty Kicks-Save%,Bottom 2,André Onana,Manchester Utd,0.0
Penalty Kicks-Save%,Bottom 3,Bart Verbruggen,Brighton,0.0
90s,Top 1,André Onana,Manchester Utd,38.0
90s,Top 2,Bernd Leno,Fulham,38.0
90s,Top 3,Guglielmo Vicario,Tottenham,38.0
90s,Bottom 1,John Fleck,Sheffield Utd,1.0
90s,Bottom 2,Kalvin Phillips,Manchester City,1.0
90s,Bottom 3,Ivan Perišić,Tottenham,1.1
Standard-Gls,Top 1,Erling Haaland,Manchester City,27.0
Standard-Gls,Top 2,Cole Palmer,Chelsea,22.0
Standard-Gls,Top 3,Alexander Isak,Newcastle Utd,21.0
Standard-Gls,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-Gls,Bottom 2,Aaron Hickey,Brentford,0.0
Standard-Gls,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Standard-Sh,Top 1,Erling Haaland,Manchester City,113.0
Standard-Sh,Top 2,Darwin Núñez,Liverpool,107.0
Standard-Sh,Top 3,Mohamed Salah,Liverpool,107.0
Standard-Sh,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-Sh,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Standard-Sh,Bottom 3,Alisson,Liverpool,0.0
Standard-SoT,Top 1,Erling Haaland,Manchester City,50.0
Standard-SoT,Top 2,Phil Foden,Manchester City,48.0
Standard-SoT,Top 3,Mohamed Salah,Liverpool,47.0
Standard-SoT,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-SoT,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Standard-SoT,Bottom 3,Adam Smith,Bournemouth,0.0
Standard-SoT%,Top 1,Amari'i Bell,Luton Town,100.0
Standard-SoT%,Top 2,Bénie Traoré,Sheffield Utd,100.0
Standard-SoT%,Top 3,Chris Mepham,Bournemouth,100.0
Standard-SoT%,Bottom 1,Adam Smith,Bournemouth,0.0
Standard-SoT%,Bottom 2,Adam Webster,Brighton,0.0
Standard-SoT%,Bottom 3,Andrew Omobamidele,Nott'ham Forest,0.0
Standard-Sh/90,Top 1,Enes Ünal,Bournemouth,6.31
Standard-Sh/90,Top 2,Julio Enciso,Brighton,5.31
Standard-Sh/90,Top 3,Kieffer Moore,Bournemouth,5.0
Standard-Sh/90,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-Sh/90,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Standard-Sh/90,Bottom 3,Alisson,Liverpool,0.0
Standard-SoT/90,Top 1,Neal Maupay,Everton,3.24
Standard-SoT/90,Top 2,Matt Ritchie,Newcastle Utd,2.81
Standard-SoT/90,Top 3,Enes Ünal,Bournemouth,2.2
Standard-SoT/90,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-SoT/90,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Standard-SoT/90,Bottom 3,Adam Smith,Bournemouth,0.0
Standard-G/Sh,Top 1,Hannibal Mejbri,Manchester Utd,1.0
Standard-G/Sh,Top 2,Tim Ream,Fulham,1.0
Standard-G/Sh,Top 3,Leander Dendoncker,Aston Villa,0.5
Standard-G/Sh,Bottom 1,Aaron Hickey,Brentford,0.0
Standard-G/Sh,Bottom 2,Aaron Ramsey,Burnley,0.0
Standard-G/Sh,Bottom 3,Aaron Wan-Bissaka,Manchester Utd,0.0
Standard-G/SoT,Top 1,Alfie Gilchrist,Chelsea,1.0
Standard-G/SoT,Top 2,Ben Mee,Brentford,1.0
Standard-G/SoT,Top 3,Calvin Bassey,Fulham,1.0
Standard-G/SoT,Bottom 1,Aaron Hickey,Brentford,0.0
Standard-G/SoT,Bottom 2,Aaron Ramsey,Burnley,0.0
Standard-G/SoT,Bottom 3,Aaron Wan-Bissaka,Manchester Utd,0.0
Standard-Dist,Top 1,Oliver Norwood,Sheffield Utd,32.9
Standard-Dist,Top 2,Kyle Walker,Manchester City,29.4
Standard-Dist,Top 3,Moisés Caicedo,Chelsea,29.0
Standard-Dist,Bottom 1,Tim Ream,Fulham,1.3
Standard-Dist,Bottom 2,Andrew Omobamidele,Nott'ham Forest,5.1
Standard-Dist,Bottom 3,Jonny Evans,Manchester Utd,5.4
Standard-FK,Top 1,James Ward-Prowse,West Ham,16.0
Standard-FK,Top 2,Julián Álvarez,Manchester City,13.0
Standard-FK,Top 3,Eberechi Eze,Crystal Palace,12.0
Standard-FK,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-FK,Bottom 2,Aaron Hickey,Brentford,0.0
Standard-FK,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Standard-PK,Top 1,Cole Palmer,Chelsea,9.0
Standard-PK,Top 2,Erling Haaland,Manchester City,7.0
Standard-PK,Top 3,Bukayo Saka,Arsenal,6.0
Standard-PK,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-PK,Bottom 2,Aaron Hickey,Brentford,0.0
Standard-PK,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Standard-PKatt,Top 1,Cole Palmer,Chelsea,9.0
Standard-PKatt,Top 2,Erling Haaland,Manchester City,8.0
Standard-PKatt,Top 3,Mohamed Salah,Liverpool,7.0
Standard-PKatt,Bottom 1,Aaron Cresswell,West Ham,0.0
Standard-PKatt,Bottom 2,Aaron Hickey,Brentford,0.0
Standard-PKatt,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Expected-npxG/Sh,Top 1,Tim Ream,Fulham,0.96
Expected-npxG/Sh,Top 2,Shandon Baptiste,Brentford,0.45
Expected-npxG/Sh,Top 3,Leander Dendoncker,Aston Villa,0.37
Expected-npxG/Sh,Bottom 1,Benson Manuel,Burnley,0.02
Expected-npxG/Sh,Bottom 2,Charlie Taylor,Burnley,0.02
Expected-npxG/Sh,Bottom 3,George Baldock,Sheffield Utd,0.02
Expected-G-xG,Top 1,Phil Foden,Manchester City,8.7
Expected-G-xG,Top 2,Callum Hudson-Odoi,Nott'ham Forest,5.3
Expected-G-xG,Top 3,Jean-Philippe Mateta,Crystal Palace,5.1
