Statistic,Rank,Player,Squad,Value
Expected-G-xG,Bottom 1,Dominic Calvert-Lewin,Everton,-5.9
Expected-G-xG,Bottom 2,Brennan Johnson,Tottenham,-5.3
Expected-G-xG,Bottom 3,Darwin Núñez,Liverpool,-5.3
Expected-np:G-xG,Top 1,Phil Foden,Manchester City,8.7
Expected-np:G-xG,Top 2,Callum Hudson-Odoi,Nott'ham Forest,5.3
Expected-np:G-xG,Top 3,Diogo Jota,Liverpool,4.7
Expected-np:G-xG,Bottom 1,Dominic Calvert-Lewin,Everton,-6.4
Expected-np:G-xG,Bottom 2,Brennan Johnson,Tottenham,-5.3
Expected-np:G-xG,Bottom 3,Nicolas Jackson,Chelsea,-4.6
Total-Cmp,Top 1,Rodri,Manchester City,3365.0
Total-Cmp,Top 2,Lewis Dunk,Brighton,2977.0
Total-Cmp,Top 3,Pascal Groß,Brighton,2774.0
Total-Cmp,Bottom 1,Leon Chiwome,Wolves,19.0
Total-Cmp,Bottom 2,Neal Maupay,Everton,22.0
Total-Cmp,Bottom 3,Alex Iwobi,Everton,27.0
Total-Att,Top 1,Rodri,Manchester City,3656.0
Total-Att,Top 2,Lewis Dunk,Brighton,3233.0
Total-Att,Top 3,Pascal Groß,Brighton,3223.0
Total-Att,Bottom 1,Leon Chiwome,Wolves,22.0
Total-Att,Bottom 2,Neal Maupay,Everton,26.0
Total-Att,Bottom 3,Hannibal Mejbri,Manchester Utd,38.0
Total-Cmp%,Top 1,Thiago Silva,Chelsea,94.7
Total-Cmp%,Top 2,David Ozoh,Crystal Palace,94.1
Total-Cmp%,Top 3,Mateo Kovačić,Manchester City,94.0
Total-Cmp%,Bottom 1,Ivo Grbić,Sheffield Utd,49.7
Total-Cmp%,Bottom 2,William Osula,Sheffield Utd,52.7
Total-Cmp%,Bottom 3,Ivan Toney,Brentford,53.5
Total-TotDist,Top 1,Rodri,Manchester City,57256.0
Total-TotDist,Top 2,Lewis Dunk,Brighton,50791.0
Total-TotDist,Top 3,Virgil van Dijk,Liverpool,49290.0
Total-TotDist,Bottom 1,Leon Chiwome,Wolves,244.0
Total-TotDist,Bottom 2,Kieffer Moore,Bournemouth,272.0
Total-TotDist,Bottom 3,Neal Maupay,Everton,353.0
Total-PrgDist,Top 1,Jordan Pickford,Everton,26388.0
Total-PrgDist,Top 2,Mark Flekken,Brentford,22385.0
Total-PrgDist,Top 3,Thomas Kaminski,Luton Town,22188.0
Total-PrgDist,Bottom 1,Neal Maupay,Everton,14.0
Total-PrgDist,Bottom 2,Nathan Fraser,Wolves,45.0
Total-PrgDist,Bottom 3,Leon Chiwome,Wolves,59.0
Short-Cmp,Top 1,Rodri,Manchester City,1676.0
Short-Cmp,Top 2,Pascal Groß,Brighton,1583.0
Short-Cmp,Top 3,Lewis Dunk,Brighton,1343.0
Short-Cmp,Bottom 1,Thomas Strakosha,Brentford,6.0
Short-Cmp,Bottom 2,Mark Travers,Bournemouth,10.0
Short-Cmp,Bottom 3,Leon Chiwome,Wolves,12.0
Short-Att,Top 1,Rodri,Manchester City,1774.0
Short-Att,Top 2,Pascal Groß,Brighton,1674.0
Short-Att,Top 3,Lewis Dunk,Brighton,1382.0
Short-Att,Bottom 1,Thomas Strakosha,Brentford,6.0
Short-Att,Bottom 2,Mark Travers,Bournemouth,10.0
Short-Att,Bottom 3,Leon Chiwome,Wolves,13.0
Short-Cmp%,Top 1,Aaron Ramsdale,Arsenal,100.0
Short-Cmp%,Top 2,Benson Manuel,Burnley,100.0
Short-Cmp%,Top 3,Caoimhín Kelleher,Liverpool,100.0
Short-Cmp%,Bottom 1,William Osula,Sheffield Utd,58.9
Short-Cmp%,Bottom 2,Youssef Chermiti,Everton,59.4
Short-Cmp%,Bottom 3,Ivan Toney,Brentford,61.6
Medium-Cmp,Top 1,Virgil van Dijk,Liverpool,1343.0
Medium-Cmp,Top 2,Lewis Dunk,Brighton,1340.0
Medium-Cmp,Top 3,William Saliba,Arsenal,1298.0
Medium-Cmp,Bottom 1,Kieffer Moore,Bournemouth,4.0
Medium-Cmp,Bottom 2,Leon Chiwome,Wolves,6.0
Medium-Cmp,Bottom 3,Maxwel Cornet,West Ham,6.0
Medium-Att,Top 1,Lewis Dunk,Brighton,1417.0
Medium-Att,Top 2,Virgil van Dijk,Liverpool,1412.0
Medium-Att,Top 3,William Saliba,Arsenal,1373.0
Medium-Att,Bottom 1,Leon Chiwome,Wolves,6.0
Medium-Att,Bottom 2,Kieffer Moore,Bournemouth,8.0
Medium-Att,Bottom 3,Maxwel Cornet,West Ham,8.0
Medium-Cmp%,Top 1,Daniel Bentley,Wolves,100.0
Medium-Cmp%,Top 2,David Ozoh,Crystal Palace,100.0
Medium-Cmp%,Top 3,Leon Chiwome,Wolves,100.0
Medium-Cmp%,Bottom 1,William Osula,Sheffield Utd,40.0
Medium-Cmp%,Bottom 2,Rhian Brewster,Sheffield Utd,45.5
Medium-Cmp%,Bottom 3,Dominic Calvert-Lewin,Everton,49.5
Long-Cmp,Top 1,Jordan Pickford,Everton,461.0
Long-Cmp,Top 2,Mark Flekken,Brentford,394.0
Long-Cmp,Top 3,Thomas Kaminski,Luton Town,362.0
Long-Cmp,Bottom 1,David Ozoh,Crystal Palace,0.0
Long-Cmp,Bottom 2,Facundo Pellistri,Manchester Utd,0.0
Long-Cmp,Bottom 3,Kieffer Moore,Bournemouth,0.0
Long-Att,Top 1,Jordan Pickford,Everton,1031.0
Long-Att,Top 2,Thomas Kaminski,Luton Town,937.0
Long-Att,Top 3,Mark Flekken,Brentford,832.0
Long-Att,Bottom 1,David Ozoh,Crystal Palace,0.0
Long-Att,Bottom 2,Facundo Pellistri,Manchester Utd,0.0
Long-Att,Bottom 3,Kieffer Moore,Bournemouth,0.0
Long-Cmp%,Top 1,Brennan Johnson,Nott'ham Forest,100.0
Long-Cmp%,Top 2,Bénie Traoré,Sheffield Utd,100.0
Long-Cmp%,Top 3,Carlos Vinícius,Fulham,100.0
Long-Cmp%,Bottom 1,Maxwel Cornet,West Ham,0.0
Long-Cmp%,Bottom 2,Danny Ings,West Ham,12.5
Long-Cmp%,Bottom 3,Jaidon Anthony,Bournemouth,16.7
Ast,Top 1,Ollie Watkins,Aston Villa,13.0
Ast,Top 2,Cole Palmer,Chelsea,11.0
Ast,Top 3,Anthony Gordon,Newcastle Utd,10.0
Ast,Bottom 1,Aaron Cresswell,West Ham,0.0
Ast,Bottom 2,Aaron Hickey,Brentford,0.0
Ast,Bottom 3,Aaron Ramsdale,Arsenal,0.0
xAG,Top 1,Bruno Fernandes,Manchester Utd,11.8
xAG,Top 2,Mohamed Salah,Liverpool,11.8
xAG,Top 3,Son Heung-min,Tottenham,11.8
xAG,Bottom 1,Aaron Ramsdale,Arsenal,0.0
xAG,Bottom 2,Alfie Gilchrist,Chelsea,0.0
xAG,Bottom 3,Alisson,Liverpool,0.0
Expected-xA,Top 1,Martin Ødegaard,Arsenal,11.2
Expected-xA,Top 2,Bukayo Saka,Arsenal,11.0
Expected-xA,Top 3,Bruno Fernandes,Manchester Utd,10.2
Expected-xA,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Expected-xA,Bottom 2,Alfie Gilchrist,Chelsea,0.0
Expected-xA,Bottom 3,Alisson,Liverpool,0.0
Expected-A-xAG,Top 1,Ollie Watkins,Aston Villa,5.7
Expected-A-xAG,Top 2,Rodri,Manchester City,5.1
Expected-A-xAG,Top 3,Pedro Neto,Wolves,4.6
Expected-A-xAG,Bottom 1,Dejan Kulusevski,Tottenham,-4.7
Expected-A-xAG,Bottom 2,Bruno Fernandes,Manchester Utd,-3.8
Expected-A-xAG,Bottom 3,Dominik Szoboszlai,Liverpool,-3.8
KP,Top 1,Bruno Fernandes,Manchester Utd,114.0
KP,Top 2,Pascal Groß,Brighton,103.0
KP,Top 3,Martin Ødegaard,Arsenal,102.0
KP,Bottom 1,Aaron Ramsdale,Arsenal,0.0
KP,Bottom 2,Alfie Gilchrist,Chelsea,0.0
KP,Bottom 3,Alphonse Areola,West Ham,0.0
1/3,Top 1,Rodri,Manchester City,378.0
1/3,Top 2,Pascal Groß,Brighton,242.0
1/3,Top 3,Declan Rice,Arsenal,240.0
1/3,Bottom 1,Ionuț Radu,Bournemouth,0.0
1/3,Bottom 2,Lewis Dobbin,Everton,0.0
1/3,Bottom 3,Maxwel Cornet,West Ham,0.0
PPA,Top 1,Martin Ødegaard,Arsenal,130.0
PPA,Top 2,Bruno Fernandes,Manchester Utd,89.0
PPA,Top 3,Bukayo Saka,Arsenal,73.0
PPA,Bottom 1,Aaron Ramsdale,Arsenal,0.0
PPA,Bottom 2,Alisson,Liverpool,0.0
PPA,Bottom 3,Alphonse Areola,West Ham,0.0
CrsPA,Top 1,Pascal Groß,Brighton,27.0
CrsPA,Top 2,Antonee Robinson,Fulham,26.0
CrsPA,Top 3,Alfie Doughty,Luton Town,24.0
CrsPA,Bottom 1,Aaron Cresswell,West Ham,0.0
CrsPA,Bottom 2,Aaron Hickey,Brentford,0.0
CrsPA,Bottom 3,Aaron Ramsdale,Arsenal,0.0
PrgP,Top 1,Rodri,Manchester City,376.0
PrgP,Top 2,Martin Ødegaard,Arsenal,344.0
PrgP,Top 3,Pascal Groß,Brighton,302.0
PrgP,Bottom 1,Bernd Leno,Fulham,0.0
PrgP,Bottom 2,Daniel Bentley,Wolves,0.0
PrgP,Bottom 3,Dean Henderson,Crystal Palace,0.0
Att,Top 1,Rodri,Manchester City,3656.0
Att,Top 2,Lewis Dunk,Brighton,3233.0
Att,Top 3,Pascal Groß,Brighton,3223.0
Att,Bottom 1,Leon Chiwome,Wolves,22.0
Att,Bottom 2,Neal Maupay,Everton,26.0
Att,Bottom 3,Hannibal Mejbri,Manchester Utd,38.0
Pass Types-Live,Top 1,Rodri,Manchester City,3572.0
Pass Types-Live,Top 2,Lewis Dunk,Brighton,3005.0
Pass Types-Live,Top 3,Pascal Groß,Brighton,2903.0
Pass Types-Live,Bottom 1,Leon Chiwome,Wolves,18.0
Pass Types-Live,Bottom 2,Neal Maupay,Everton,23.0
Pass Types-Live,Bottom 3,Alex Iwobi,Everton,34.0
Pass Types-Dead,Top 1,Jordan Pickford,Everton,496.0
Pass Types-Dead,Top 2,Thomas Kaminski,Luton Town,493.0
Pass Types-Dead,Top 3,Alfie Doughty,Luton Town,489.0
Pass Types-Dead,Bottom 1,Calum Chambers,Aston Villa,0.0
Pass Types-Dead,Bottom 2,Carney Chukwuemeka,Chelsea,0.0
Pass Types-Dead,Bottom 3,Cheikhou Kouyaté,Nott'ham Forest,0.0
Pass Types-FK,Top 1,Jordan Pickford,Everton,223.0
Pass Types-FK,Top 2,Mark Flekken,Brentford,166.0
Pass Types-FK,Top 3,Thomas Kaminski,Luton Town,152.0
Pass Types-FK,Bottom 1,Abdoulaye Doucouré,Everton,0.0
Pass Types-FK,Bottom 2,Adama Traoré,Fulham,0.0
Pass Types-FK,Bottom 3,Alex Iwobi,Everton,0.0
Pass Types-TB,Top 1,Martin Ødegaard,Arsenal,39.0
Pass Types-TB,Top 2,Bruno Fernandes,Manchester Utd,30.0
Pass Types-TB,Top 3,Lucas Paquetá,West Ham,30.0
Pass Types-TB,Bottom 1,Aaron Cresswell,West Ham,0.0
Pass Types-TB,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Pass Types-TB,Bottom 3,Aaron Wan-Bissaka,Manchester Utd,0.0
Pass Types-Sw,Top 1,Fabian Schär,Newcastle Utd,41.0
Pass Types-Sw,Top 2,Rodri,Manchester City,36.0
Pass Types-Sw,Top 3,Trent Alexander-Arnold,Liverpool,32.0
Pass Types-Sw,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Pass Types-Sw,Bottom 2,Aaron Ramsey,Burnley,0.0
Pass Types-Sw,Bottom 3,Adam Lallana,Brighton,0.0
Pass Types-Crs,Top 1,Alfie Doughty,Luton Town,340.0
Pass Types-Crs,Top 2,Pascal Groß,Brighton,238.0
Pass Types-Crs,Top 3,Dwight McNeil,Everton,229.0
Pass Types-Crs,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Pass Types-Crs,Bottom 2,Alisson,Liverpool,0.0
Pass Types-Crs,Bottom 3,Alphonse Areola,West Ham,0.0
Pass Types-TI,Top 1,Tyrick Mitchell,Crystal Palace,347.0
Pass Types-TI,Top 2,Vladimír Coufal,West Ham,319.0
Pass Types-TI,Top 3,Pedro Porro,Tottenham,295.0
Pass Types-TI,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Pass Types-TI,Bottom 2,Abdoulaye Doucouré,Everton,0.0
Pass Types-TI,Bottom 3,Adam Lallana,Brighton,0.0
Pass Types-CK,Top 1,Alfie Doughty,Luton Town,151.0
Pass Types-CK,Top 2,Bruno Fernandes,Manchester Utd,151.0
Pass Types-CK,Top 3,Andreas Pereira,Fulham,148.0
Pass Types-CK,Bottom 1,Aaron Hickey,Brentford,0.0
Pass Types-CK,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Pass Types-CK,Bottom 3,Aaron Ramsey,Burnley,0.0
Corner Kicks-In,Top 1,Bukayo Saka,Arsenal,99.0
Corner Kicks-In,Top 2,Lewis Cook,Bournemouth,81.0
Corner Kicks-In,Top 3,Alfie Doughty,Luton Town,66.0
Corner Kicks-In,Bottom 1,Aaron Hickey,Brentford,0.0
Corner Kicks-In,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Corner Kicks-In,Bottom 3,Aaron Ramsey,Burnley,0.0
Corner Kicks-Out,Top 1,Alfie Doughty,Luton Town,80.0
Corner Kicks-Out,Top 2,Andreas Pereira,Fulham,74.0
Corner Kicks-Out,Top 3,Pascal Groß,Brighton,57.0
Corner Kicks-Out,Bottom 1,Aaron Hickey,Brentford,0.0
Corner Kicks-Out,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Corner Kicks-Out,Bottom 3,Aaron Ramsey,Burnley,0.0
Corner Kicks-Str,Top 1,Pablo Sarabia,Wolves,10.0
Corner Kicks-Str,Top 2,Bruno Fernandes,Manchester Utd,8.0
Corner Kicks-Str,Top 3,Kieran Trippier,Newcastle Utd,8.0
Corner Kicks-Str,Bottom 1,Aaron Cresswell,West Ham,0.0
Corner Kicks-Str,Bottom 2,Aaron Hickey,Brentford,0.0
Corner Kicks-Str,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Outcomes-Cmp,Top 1,Rodri,Manchester City,3365.0
Outcomes-Cmp,Top 2,Lewis Dunk,Brighton,2977.0
Outcomes-Cmp,Top 3,Pascal Groß,Brighton,2774.0
Outcomes-Cmp,Bottom 1,Leon Chiwome,Wolves,19.0
Outcomes-Cmp,Bottom 2,Neal Maupay,Everton,22.0
Outcomes-Cmp,Bottom 3,Alex Iwobi,Everton,27.0
Outcomes-Off,Top 1,Bruno Fernandes,Manchester Utd,23.0
Outcomes-Off,Top 2,Enzo Fernández,Chelsea,17.0
Outcomes-Off,Top 3,Martin Ødegaard,Arsenal,16.0
Outcomes-Off,Bottom 1,Aaron Cresswell,West Ham,0.0
Outcomes-Off,Bottom 2,Aaron Hickey,Brentford,0.0
Outcomes-Off,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Outcomes-Blocks,Top 1,Tyrick Mitchell,Crystal Palace,70.0
Outcomes-Blocks,Top 2,Antonee Robinson,Fulham,68.0
Outcomes-Blocks,Top 3,Pedro Porro,Tottenham,68.0
Outcomes-Blocks,Bottom 1,Alfie Gilchrist,Chelsea,0.0
Outcomes-Blocks,Bottom 2,Alphonse Areola,West Ham,0.0
Outcomes-Blocks,Bottom 3,Arijanet Muric,Burnley,0.0
SCA-SCA,Top 1,Martin Ødegaard,Arsenal,220.0
SCA-SCA,Top 2,Bruno Fernandes,Manchester Utd,210.0
SCA-SCA,Top 3,Bukayo Saka,Arsenal,188.0
SCA-SCA,Bottom 1,Aaron Ramsdale,Arsenal,0.0
SCA-SCA,Bottom 2,Angelo Ogbonna,West Ham,0.0
SCA-SCA,Bottom 3,David Ozoh,Crystal Palace,0.0
SCA-SCA90,Top 1,Manor Solomon,Tottenham,8.59
SCA-SCA90,Top 2,Alex Iwobi,Everton,7.77
SCA-SCA90,Top 3,Kevin De Bruyne,Manchester City,7.36
SCA-SCA90,Bottom 1,Aaron Ramsdale,Arsenal,0.0
SCA-SCA90,Bottom 2,Angelo Ogbonna,West Ham,0.0
SCA-SCA90,Bottom 3,David Ozoh,Crystal Palace,0.0
SCA Types-PassLive,Top 1,Martin Ødegaard,Arsenal,178.0
SCA Types-PassLive,Top 2,Bruno Fernandes,Manchester Utd,143.0
SCA Types-PassLive,Top 3,Bukayo Saka,Arsenal,137.0
SCA Types-PassLive,Bottom 1,Aaron Ramsdale,Arsenal,0.0
SCA Types-PassLive,Bottom 2,Angelo Ogbonna,West Ham,0.0
SCA Types-PassLive,Bottom 3,David Ozoh,Crystal Palace,0.0
SCA Types-PassDead,Top 1,Pascal Groß,Brighton,54.0
SCA Types-PassDead,Top 2,James Ward-Prowse,West Ham,51.0
SCA Types-PassDead,Top 3,Andreas Pereira,Fulham,48.0
SCA Types-PassDead,Bottom 1,Aaron Hickey,Brentford,0.0
SCA Types-PassDead,Bottom 2,Aaron Ramsdale,Arsenal,0.0
SCA Types-PassDead,Bottom 3,Aaron Ramsey,Burnley,0.0
SCA Types-TO,Top 1,Mohammed Kudus,West Ham,25.0
SCA Types-TO,Top 2,Nicolas Jackson,Chelsea,18.0
SCA Types-TO,Top 3,Jeremy Doku,Manchester City,17.0
SCA Types-TO,Bottom 1,Aaron Cresswell,West Ham,0.0
SCA Types-TO,Bottom 2,Aaron Hickey,Brentford,0.0
SCA Types-TO,Bottom 3,Aaron Ramsdale,Arsenal,0.0
SCA Types-Sh,Top 1,Mohamed Salah,Liverpool,21.0
SCA Types-Sh,Top 2,Ollie Watkins,Aston Villa,18.0
SCA Types-Sh,Top 3,Luis Díaz,Liverpool,15.0
SCA Types-Sh,Bottom 1,Aaron Cresswell,West Ham,0.0
SCA Types-Sh,Bottom 2,Aaron Hickey,Brentford,0.0
SCA Types-Sh,Bottom 3,Aaron Ramsdale,Arsenal,0.0
SCA Types-Fld,Top 1,Anthony Gordon,Newcastle Utd,13.0
SCA Types-Fld,Top 2,Alejandro Garnacho,Manchester Utd,12.0
SCA Types-Fld,Top 3,Jordan Ayew,Crystal Palace,12.0
SCA Types-Fld,Bottom 1,Aaron Ramsdale,Arsenal,0.0
SCA Types-Fld,Bottom 2,Aaron Ramsey,Burnley,0.0
SCA Types-Fld,Bottom 3,Adam Webster,Brighton,0.0
SCA Types-Def,Top 1,Bruno Guimarães,Newcastle Utd,6.0
SCA Types-Def,Top 2,Conor Gallagher,Chelsea,6.0
SCA Types-Def,Top 3,Idrissa Gana Gueye,Everton,6.0
SCA Types-Def,Bottom 1,Aaron Cresswell,West Ham,0.0
SCA Types-Def,Bottom 2,Aaron Hickey,Brentford,0.0
SCA Types-Def,Bottom 3,Aaron Ramsdale,Arsenal,0.0
GCA-GCA,Top 1,Anthony Gordon,Newcastle Utd,29.0
GCA-GCA,Top 2,Cole Palmer,Chelsea,26.0
GCA-GCA,Top 3,Ollie Watkins,Aston Villa,26.0
GCA-GCA,Bottom 1,Aaron Hickey,Brentford,0.0
GCA-GCA,Bottom 2,Aaron Ramsdale,Arsenal,0.0
GCA-GCA,Bottom 3,Aaron Ramsey,Burnley,0.0
GCA-GCA90,Top 1,Oscar Bobb,Manchester City,1.79
GCA-GCA90,Top 2,Ivan Perišić,Tottenham,1.75
GCA-GCA90,Top 3,Carney Chukwuemeka,Chelsea,1.59
GCA-GCA90,Bottom 1,Aaron Hickey,Brentford,0.0
GCA-GCA90,Bottom 2,Aaron Ramsdale,Arsenal,0.0
GCA-GCA90,Bottom 3,Aaron Ramsey,Burnley,0.0
GCA Types-PassLive,Top 1,Cole Palmer,Chelsea,20.0
GCA Types-PassLive,Top 2,Martin Ødegaard,Arsenal,18.0
GCA Types-PassLive,Top 3,Rodri,Manchester City,17.0
GCA Types-PassLive,Bottom 1,Aaron Hickey,Brentford,0.0
GCA Types-PassLive,Bottom 2,Aaron Ramsdale,Arsenal,0.0
GCA Types-PassLive,Bottom 3,Aaron Ramsey,Burnley,0.0
GCA Types-PassDead,Top 1,James Ward-Prowse,West Ham,7.0
GCA Types-PassDead,Top 2,Alfie Doughty,Luton Town,5.0
GCA Types-PassDead,Top 3,Conor Gallagher,Chelsea,5.0
GCA Types-PassDead,Bottom 1,Aaron Cresswell,West Ham,0.0
GCA Types-PassDead,Bottom 2,Aaron Hickey,Brentford,0.0
GCA Types-PassDead,Bottom 3,Aaron Ramsdale,Arsenal,0.0
GCA Types-TO,Top 1,Anthony Gordon,Newcastle Utd,5.0
GCA Types-TO,Top 2,Bruno Guimarães,Newcastle Utd,4.0
GCA Types-TO,Top 3,Diogo Jota,Liverpool,4.0
GCA Types-TO,Bottom 1,Aaron Cresswell,West Ham,0.0
GCA Types-TO,Bottom 2,Aaron Hickey,Brentford,0.0
GCA Types-TO,Bottom 3,Aaron Ramsdale,Arsenal,0.0
GCA Types-Sh,Top 1,Ollie Watkins,Aston Villa,7.0
GCA Types-Sh,Top 2,Anthony Gordon,Newcastle Utd,4.0
GCA Types-Sh,Top 3,Carlton Morris,Luton Town,3.0
GCA Types-Sh,Bottom 1,Aaron Cresswell,West Ham,0.0
GCA Types-Sh,Bottom 2,Aaron Hickey,Brentford,0.0
GCA Types-Sh,Bottom 3,Aaron Ramsdale,Arsenal,0.0
GCA Types-Fld,Top 1,Anthony Gordon,Newcastle Utd,5.0
GCA Types-Fld,Top 2,Chiedozie Ogbene,Luton Town,4.0
GCA Types-Fld,Top 3,Eddie Nketiah,Arsenal,3.0
GCA Types-Fld,Bottom 1,Aaron Cresswell,West Ham,0.0
GCA Types-Fld,Bottom 2,Aaron Hickey,Brentford,0.0
GCA Types-Fld,Bottom 3,Aaron Ramsdale,Arsenal,0.0
GCA Types-Def,Top 1,Antony,Manchester Utd,2.0
GCA Types-Def,Top 2,Cole Palmer,Chelsea,2.0
GCA Types-Def,Top 3,James Garner,Everton,2.0
GCA Types-Def,Bottom 1,Aaron Cresswell,West Ham,0.0
GCA Types-Def,Bottom 2,Aaron Hickey,Brentford,0.0
GCA Types-Def,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Tackles-Tkl,Top 1,João Palhinha,Fulham,152.0
Tackles-Tkl,Top 2,João Gomes,Wolves,128.0
Tackles-Tkl,Top 3,Vinicius Souza,Sheffield Utd,125.0
Tackles-Tkl,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Tackles-Tkl,Bottom 2,Alisson,Liverpool,0.0
Tackles-Tkl,Bottom 3,Bernd Leno,Fulham,0.0
Tackles-TklW,Top 1,Vinicius Souza,Sheffield Utd,76.0
Tackles-TklW,Top 2,João Palhinha,Fulham,75.0
Tackles-TklW,Top 3,João Gomes,Wolves,74.0
Tackles-TklW,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Tackles-TklW,Bottom 2,Alex Iwobi,Everton,0.0
Tackles-TklW,Bottom 3,Alexander Isak,Newcastle Utd,0.0
Tackles-Def 3rd,Top 1,João Palhinha,Fulham,80.0
Tackles-Def 3rd,Top 2,Tyrick Mitchell,Crystal Palace,75.0
Tackles-Def 3rd,Top 3,João Gomes,Wolves,67.0
Tackles-Def 3rd,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Tackles-Def 3rd,Bottom 2,Alisson,Liverpool,0.0
Tackles-Def 3rd,Bottom 3,Armando Broja,Chelsea,0.0
Tackles-Mid 3rd,Top 1,João Palhinha,Fulham,60.0
Tackles-Mid 3rd,Top 2,Vinicius Souza,Sheffield Utd,51.0
Tackles-Mid 3rd,Top 3,Alexis Mac Allister,Liverpool,50.0
Tackles-Mid 3rd,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Tackles-Mid 3rd,Bottom 2,Alex Iwobi,Everton,0.0
Tackles-Mid 3rd,Bottom 3,Alfie Gilchrist,Chelsea,0.0
Tackles-Att 3rd,Top 1,Dejan Kulusevski,Tottenham,23.0
Tackles-Att 3rd,Top 2,Bukayo Saka,Arsenal,20.0
Tackles-Att 3rd,Top 3,Conor Gallagher,Chelsea,17.0
Tackles-Att 3rd,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Tackles-Att 3rd,Bottom 2,Adam Lallana,Brighton,0.0
Tackles-Att 3rd,Bottom 3,Alfie Gilchrist,Chelsea,0.0
Challenges-Tkl,Top 1,João Palhinha,Fulham,103.0
Challenges-Tkl,Top 2,Pedro Porro,Tottenham,62.0
Challenges-Tkl,Top 3,Alexis Mac Allister,Liverpool,59.0
Challenges-Tkl,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Challenges-Tkl,Bottom 2,Adam Lallana,Brighton,0.0
Challenges-Tkl,Bottom 3,Alisson,Liverpool,0.0
Challenges-Att,Top 1,João Palhinha,Fulham,152.0
Challenges-Att,Top 2,Alexis Mac Allister,Liverpool,125.0
Challenges-Att,Top 3,Pedro Porro,Tottenham,120.0
Challenges-Att,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Challenges-Att,Bottom 2,Benson Manuel,Burnley,0.0
Challenges-Att,Bottom 3,Bernd Leno,Fulham,0.0
Challenges-Tkl%,Top 1,Aaron Hickey,Brentford,100.0
Challenges-Tkl%,Top 2,André Onana,Manchester Utd,100.0
Challenges-Tkl%,Top 3,Anthony Martial,Manchester Utd,100.0
Challenges-Tkl%,Bottom 1,Adam Lallana,Brighton,0.0
Challenges-Tkl%,Bottom 2,Alisson,Liverpool,0.0
Challenges-Tkl%,Bottom 3,Anass Zaroury,Burnley,0.0
Challenges-Lost,Top 1,Mathias Jensen,Brentford,69.0
Challenges-Lost,Top 2,Alexis Mac Allister,Liverpool,66.0
Challenges-Lost,Top 3,Trent Alexander-Arnold,Liverpool,60.0
Challenges-Lost,Bottom 1,Aaron Hickey,Brentford,0.0
Challenges-Lost,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Challenges-Lost,Bottom 3,André Onana,Manchester Utd,0.0
Blocks-Blocks,Top 1,James Tarkowski,Everton,82.0
Blocks-Blocks,Top 2,Casemiro,Manchester Utd,74.0
Blocks-Blocks,Top 3,Alexis Mac Allister,Liverpool,65.0
Blocks-Blocks,Bottom 1,Aaron Ramsdale,Arsenal,0.0
